Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-01-15,USD,0,100000,5.140,1.5
2026-01-15,USD,100000,1000000,4.640,1
2026-01-15,USD,1000000,50000000,4.390,0.75
2026-01-15,USD,50000000,250000000,4.140,0.5
2026-01-15,USD,250000000,,4.140,0.5
2026-01-15,AED,0,350000,6.109,2.5
2026-01-15,AED,350000,3500000,5.609,2
2026-01-15,AED,3500000,350000000,5.109,1.5
2026-01-15,AED,350000000,,5.109,1.5
2026-01-15,AUD,0,150000,5.079,1.5
2026-01-15,AUD,150000,1500000,4.579,1
2026-01-15,AUD,1500000,75000000,4.329,0.75
2026-01-15,AUD,75000000,300000000,4.079,0.5
2026-01-15,AUD,300000000,,4.079,0.5
2026-01-15,CAD,0,130000,3.786,1.5
2026-01-15,CAD,130000,1300000,3.286,1
2026-01-15,CAD,1300000,64000000,3.036,0.75
2026-01-15,CAD,64000000,260000000,2.786,0.5
2026-01-15,CAD,260000000,,2.786,0.5
2026-01-15,CHF,0,90000,1.500,1.5
2026-01-15,CHF,90000,900000,1.000,1
2026-01-15,CHF,900000,46000000,0.750,0.75
2026-01-15,CHF,46000000,180000000,0.75,0.5
2026-01-15,CHF,180000000,,0.75,0.5
2026-01-15,CNH,0,700000,6.127,4
2026-01-15,CNH,700000,7000000,5.127,3
2026-01-15,CNH,7000000,350000000,4.627,2.5
2026-01-15,CNH,350000000,,4.127,2
2026-01-15,CZK,0,400000000,6.310,3
2026-01-15,CZK,400000000,,6.310,3
2026-01-15,DKK,0,120000000,4.441,3
2026-01-15,DKK,120000000,,4.441,3
2026-01-15,EUR,0,90000,3.464,1.5
2026-01-15,EUR,90000,900000,2.964,1
2026-01-15,EUR,900000,44000000,2.714,0.75
2026-01-15,EUR,44000000,180000000,2.464,0.5
2026-01-15,EUR,180000000,,2.464,0.5
2026-01-15,GBP,0,80000,5.158,1.5
2026-01-15,GBP,80000,800000,4.658,1
2026-01-15,GBP,800000,38000000,4.408,0.75
2026-01-15,GBP,38000000,150000000,4.158,0.5
2026-01-15,GBP,150000000,,4.158,0.5
2026-01-15,HKD,0,780000,4.889,2.5
2026-01-15,HKD,780000,7800000,4.389,2
2026-01-15,HKD,7800000,780000000,3.889,1.5
2026-01-15,HKD,780000000,,3.889,1.5
2026-01-15,HUF,0,4500000000,10.933,5
2026-01-15,HUF,4500000000,,10.933,5
2026-01-15,ILS,0,80000000,8.860,5
2026-01-15,ILS,80000000,,8.860,5
2026-01-15,INR,,,8.390,3
2026-01-15,JPY,0,11000000,2.148,1.5
2026-01-15,JPY,11000000,114000000,1.648,1
2026-01-15,JPY,114000000,5700000000,1.398,0.75
2026-01-15,JPY,5700000000,23000000000,1.148,0.5
2026-01-15,JPY,23000000000,,1.148,0.5
2026-01-15,KRW,0,120000000,4.500,2
2026-01-15,KRW,120000000,1200000000,4.000,1.5
2026-01-15,KRW,1200000000,24000000000,3.500,1
2026-01-15,KRW,24000000000,,3.500,1
2026-01-15,MXN,0,2000000,9.145,3
2026-01-15,MXN,2000000,20000000,8.145,2
2026-01-15,MXN,20000000,2000000000,7.645,1.5
2026-01-15,MXN,2000000000,,7.645,1.5
2026-01-15,NOK,0,900000,5.028,1.5
2026-01-15,NOK,900000,9000000,4.528,1
2026-01-15,NOK,9000000,450000000,4.278,0.75
2026-01-15,NOK,450000000,1800000000,4.028,0.5
2026-01-15,NOK,1800000000,,4.028,0.5
2026-01-15,NZD,0,150000,3.838,1.5
2026-01-15,NZD,150000,1500000,3.338,1
2026-01-15,NZD,1500000,150000000,3.088,0.75
2026-01-15,NZD,150000000,,3.088,0.75
2026-01-15,PLN,0,70000000,6.914,3
2026-01-15,PLN,70000000,,6.914,3
2026-01-15,RON,,,7.838,3
2026-01-15,RUB*,0,660000000,20.280,5
2026-01-15,RUB*,660000000,,20.280,5
2026-01-15,SAR,0,350000,6.537,2.5
2026-01-15,SAR,350000,3500000,6.037,2
2026-01-15,SAR,3500000,350000000,5.537,1.5
2026-01-15,SAR,350000000,,5.537,1.5
2026-01-15,SEK,0,900000,3.296,1.5
2026-01-15,SEK,900000,9100000,2.796,1
2026-01-15,SEK,9100000,454000000,2.546,0.75
2026-01-15,SEK,454000000,1820000000,2.296,0.5
2026-01-15,SEK,1820000000,,2.296,0.5
2026-01-15,SGD,0,140000,2.500,1.5
2026-01-15,SGD,140000,1400000,2.000,1
2026-01-15,SGD,1400000,68000000,1.750,0.75
2026-01-15,SGD,68000000,270000000,1.500,0.5
2026-01-15,SGD,270000000,,1.500,0.5
2026-01-15,TRY,0,250000000,37.203,5
2026-01-15,TRY,250000000,,37.203,5
2026-01-15,ZAR,0,1500000,8.224,1.5
2026-01-15,ZAR,1500000,15000000,7.724,1
2026-01-15,ZAR,15000000,1500000000,7.474,0.75
2026-01-15,ZAR,1500000000,,7.474,0.75
