Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2025-09-23,USD,0,10000,0,
2025-09-23,USD,10000,,3.580,0.5
2025-09-23,AED,0,35000,0,
2025-09-23,AED,35000,,3.651,0.75
2025-09-23,AUD,0,15000,0,
2025-09-23,AUD,15000,150000,3.461,0.5
2025-09-23,AUD,150000,,3.711,0.25
2025-09-23,CAD,0,13000,0,
2025-09-23,CAD,13000,,2.120,0.5
2025-09-23,CHF,0,100000,0,
2025-09-23,CHF,100000,,-0.218,0.25
2025-09-23,CNH,0,70000,0,
2025-09-23,CNH,70000,,0.50,
2025-09-23,CZK,0,250000,0,
2025-09-23,CZK,250000,,1.536,2
2025-09-23,DKK,0,75000,0,
2025-09-23,DKK,75000,,1.324,0.5
2025-09-23,EUR,0,10000,0,
2025-09-23,EUR,10000,,1.674,0.5
2025-09-23,GBP,0,8000,0,
2025-09-23,GBP,8000,,3.694,0.5
2025-09-23,HKD,0,78000,0,
2025-09-23,HKD,78000,,2.695,0.75
2025-09-23,HUF,0,3500000,0,
2025-09-23,HUF,3500000,,3.595,3
2025-09-23,ILS,,,0,
2025-09-23,INR,,,0,
2025-09-23,JPY,0,5000000,0,
2025-09-23,JPY,5000000,,0.305,0.25
2025-09-23,KRW,0,12000000,0,
2025-09-23,KRW,12000000,,1.000,1.5
2025-09-23,MXN,0,200000,0,
2025-09-23,MXN,200000,,4.167,4
2025-09-23,NOK,0,100000,0,
2025-09-23,NOK,100000,,2.125,2
2025-09-23,NZD,0,15000,0,
2025-09-23,NZD,15000,,0.960,2.5
2025-09-23,PLN,0,400000,0,
2025-09-23,PLN,400000,,2.980,2
2025-09-23,RUB,,,0,
2025-09-23,SAR,0,35000,0,
2025-09-23,SAR,35000,,4.396,0.75
2025-09-23,SEK,0,110000,0,
2025-09-23,SEK,110000,,1.634,0.5
2025-09-23,SGD,0,14000,0,
2025-09-23,SGD,14000,,0.594,1
2025-09-23,TRY,0,250000,0,
2025-09-23,TRY,250000,,5,
2025-09-23,ZAR,0,150000,0,
2025-09-23,ZAR,150000,,5.438,1
