Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-01-16,USD,0,10000,0,0
2026-01-16,USD,10000,,3.140,-0.5
2026-01-16,AED,0,35000,0,0
2026-01-16,AED,35000,,2.988,-0.75
2026-01-16,AUD,0,15000,0,0
2026-01-16,AUD,15000,150000,3.087,-0.5
2026-01-16,AUD,150000,,3.337,-0.25
2026-01-16,CAD,0,13000,0,0
2026-01-16,CAD,13000,,1.632,-0.5
2026-01-16,CHF,0,100000,0,0
2026-01-16,CHF,100000,,-0.473,-0.25
2026-01-16,CNH,0,70000,0,0
2026-01-16,CNH,70000,,0.50,0
2026-01-16,CZK,0,250000,0,0
2026-01-16,CZK,250000,,1.385,-2
2026-01-16,DKK,0,75000,0,0
2026-01-16,DKK,75000,,0.926,-0.5
2026-01-16,EUR,0,10000,0,0
2026-01-16,EUR,10000,,1.478,-0.5
2026-01-16,GBP,0,8000,0,0
2026-01-16,GBP,8000,,3.203,-0.5
2026-01-16,HKD,0,78000,0,0
2026-01-16,HKD,78000,,0.855,-0.75
2026-01-16,HUF,0,3500000,0,0
2026-01-16,HUF,3500000,,2.963,-3
2026-01-16,ILS,,,0,0
2026-01-16,INR,,,0,0
2026-01-16,JPY,0,5000000,0,0
2026-01-16,JPY,5000000,,0.372,-0.25
2026-01-16,KRW,0,12000000,0,0
2026-01-16,KRW,12000000,,1.000,-1.5
2026-01-16,MXN,0,200000,0,0
2026-01-16,MXN,200000,,2.095,-4
2026-01-16,NOK,0,100000,0,0
2026-01-16,NOK,100000,,1.687,-2
2026-01-16,NZD,0,15000,0,0
2026-01-16,NZD,15000,,0.000,-2.5
2026-01-16,PLN,0,400000,0,0
2026-01-16,PLN,400000,,1.875,-2
2026-01-16,RON,0,50000,0,0
2026-01-16,RON,50000,,3.068,-2
2026-01-16,RUB,,,0,0
2026-01-16,SAR,0,35000,0,0
2026-01-16,SAR,35000,,3.452,-0.75
2026-01-16,SEK,0,110000,0,0
2026-01-16,SEK,110000,,1.346,-0.5
2026-01-16,SGD,0,14000,0,0
2026-01-16,SGD,14000,,0.000,-1
2026-01-16,TRY,0,250000,0,0
2026-01-16,TRY,250000,,5,0
2026-01-16,ZAR,0,150000,0,0
2026-01-16,ZAR,150000,,5.513,-1
