Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2025-12-21,USD,0,100000,5.140,1.5
2025-12-21,USD,100000,1000000,4.640,1
2025-12-21,USD,1000000,50000000,4.390,0.75
2025-12-21,USD,50000000,250000000,4.140,0.5
2025-12-21,USD,250000000,,4.140,0.5
2025-12-21,AED,0,350000,6.054,2.5
2025-12-21,AED,350000,3500000,5.554,2
2025-12-21,AED,3500000,350000000,5.054,1.5
2025-12-21,AED,350000000,,5.054,1.5
2025-12-21,AUD,0,150000,4.921,1.5
2025-12-21,AUD,150000,1500000,4.421,1
2025-12-21,AUD,1500000,75000000,4.171,0.75
2025-12-21,AUD,75000000,300000000,3.921,0.5
2025-12-21,AUD,300000000,,3.921,0.5
2025-12-21,CAD,0,130000,3.633,1.5
2025-12-21,CAD,130000,1300000,3.133,1
2025-12-21,CAD,1300000,64000000,2.883,0.75
2025-12-21,CAD,64000000,260000000,2.633,0.5
2025-12-21,CAD,260000000,,2.633,0.5
2025-12-21,CHF,0,90000,1.500,1.5
2025-12-21,CHF,90000,900000,1.000,1
2025-12-21,CHF,900000,46000000,0.750,0.75
2025-12-21,CHF,46000000,180000000,0.75,0.5
2025-12-21,CHF,180000000,,0.75,0.5
2025-12-21,CNH,0,700000,4.988,4
2025-12-21,CNH,700000,7000000,3.988,3
2025-12-21,CNH,7000000,350000000,3.488,2.5
2025-12-21,CNH,350000000,,2.988,2
2025-12-21,CZK,0,400000000,5.862,3
2025-12-21,CZK,400000000,,5.862,3
2025-12-21,DKK,0,120000000,4.588,3
2025-12-21,DKK,120000000,,4.588,3
2025-12-21,EUR,0,90000,3.543,1.5
2025-12-21,EUR,90000,900000,3.043,1
2025-12-21,EUR,900000,44000000,2.793,0.75
2025-12-21,EUR,44000000,180000000,2.543,0.5
2025-12-21,EUR,180000000,,2.543,0.5
2025-12-21,GBP,0,80000,5.381,1.5
2025-12-21,GBP,80000,800000,4.881,1
2025-12-21,GBP,800000,38000000,4.631,0.75
2025-12-21,GBP,38000000,150000000,4.381,0.5
2025-12-21,GBP,150000000,,4.381,0.5
2025-12-21,HKD,0,780000,5.432,2.5
2025-12-21,HKD,780000,7800000,4.932,2
2025-12-21,HKD,7800000,780000000,4.432,1.5
2025-12-21,HKD,780000000,,4.432,1.5
2025-12-21,HUF,0,4500000000,11.203,5
2025-12-21,HUF,4500000000,,11.203,5
2025-12-21,ILS,0,80000000,8.959,5
2025-12-21,ILS,80000000,,8.959,5
2025-12-21,INR,,,8.440,3
2025-12-21,JPY,0,11000000,1.974,1.5
2025-12-21,JPY,11000000,114000000,1.474,1
2025-12-21,JPY,114000000,5700000000,1.224,0.75
2025-12-21,JPY,5700000000,23000000000,0.974,0.5
2025-12-21,JPY,23000000000,,0.974,0.5
2025-12-21,KRW,0,120000000,4.500,2
2025-12-21,KRW,120000000,1200000000,4.000,1.5
2025-12-21,KRW,1200000000,24000000000,3.500,1
2025-12-21,KRW,24000000000,,3.500,1
2025-12-21,MXN,0,2000000,10.259,3
2025-12-21,MXN,2000000,20000000,9.259,2
2025-12-21,MXN,20000000,2000000000,8.759,1.5
2025-12-21,MXN,2000000000,,8.759,1.5
2025-12-21,NOK,0,900000,5.259,1.5
2025-12-21,NOK,900000,9000000,4.759,1
2025-12-21,NOK,9000000,450000000,4.509,0.75
2025-12-21,NOK,450000000,1800000000,4.259,0.5
2025-12-21,NOK,1800000000,,4.259,0.5
2025-12-21,NZD,0,150000,3.799,1.5
2025-12-21,NZD,150000,1500000,3.299,1
2025-12-21,NZD,1500000,150000000,3.049,0.75
2025-12-21,NZD,150000000,,3.049,0.75
2025-12-21,PLN,0,70000000,6.925,3
2025-12-21,PLN,70000000,,6.925,3
2025-12-21,RON,,,8.545,3
2025-12-21,RUB*,0,660000000,20.840,5
2025-12-21,RUB*,660000000,,20.840,5
2025-12-21,SAR,0,350000,7.794,2.5
2025-12-21,SAR,350000,3500000,7.294,2
2025-12-21,SAR,3500000,350000000,6.794,1.5
2025-12-21,SAR,350000000,,6.794,1.5
2025-12-21,SEK,0,900000,3.267,1.5
2025-12-21,SEK,900000,9100000,2.767,1
2025-12-21,SEK,9100000,454000000,2.517,0.75
2025-12-21,SEK,454000000,1820000000,2.267,0.5
2025-12-21,SEK,1820000000,,2.267,0.5
2025-12-21,SGD,0,140000,2.587,1.5
2025-12-21,SGD,140000,1400000,2.087,1
2025-12-21,SGD,1400000,68000000,1.837,0.75
2025-12-21,SGD,68000000,270000000,1.587,0.5
2025-12-21,SGD,270000000,,1.587,0.5
2025-12-21,TRY,0,250000000,36.216,5
2025-12-21,TRY,250000000,,36.216,5
2025-12-21,ZAR,0,1500000,7.713,1.5
2025-12-21,ZAR,1500000,15000000,7.213,1
2025-12-21,ZAR,15000000,1500000000,6.963,0.75
2025-12-21,ZAR,1500000000,,6.963,0.75
