Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2025-12-05,USD,0,10000,0,0
2025-12-05,USD,10000,,3.390,-0.5
2025-12-05,AED,0,35000,0,0
2025-12-05,AED,35000,,3.130,-0.75
2025-12-05,AUD,0,15000,0,0
2025-12-05,AUD,15000,150000,3.425,-0.5
2025-12-05,AUD,150000,,3.675,-0.25
2025-12-05,CAD,0,13000,0,0
2025-12-05,CAD,13000,,1.757,-0.5
2025-12-05,CHF,0,100000,0,0
2025-12-05,CHF,100000,,-0.222,-0.25
2025-12-05,CNH,0,70000,0,0
2025-12-05,CNH,70000,,0.50,0
2025-12-05,CZK,0,250000,0,0
2025-12-05,CZK,250000,,1.318,-2
2025-12-05,DKK,0,75000,0,0
2025-12-05,DKK,75000,,1.184,-0.5
2025-12-05,EUR,0,10000,0,0
2025-12-05,EUR,10000,,1.623,-0.5
2025-12-05,GBP,0,8000,0,0
2025-12-05,GBP,8000,,3.659,-0.5
2025-12-05,HKD,0,78000,0,0
2025-12-05,HKD,78000,,0.944,-0.75
2025-12-05,HUF,0,3500000,0,0
2025-12-05,HUF,3500000,,3.490,-3
2025-12-05,ILS,,,0,0
2025-12-05,INR,,,0,0
2025-12-05,JPY,0,5000000,0,0
2025-12-05,JPY,5000000,,0.330,-0.25
2025-12-05,KRW,0,12000000,0,0
2025-12-05,KRW,12000000,,1.000,-1.5
2025-12-05,MXN,0,200000,0,0
2025-12-05,MXN,200000,,3.329,-4
2025-12-05,NOK,0,100000,0,0
2025-12-05,NOK,100000,,1.995,-2
2025-12-05,NZD,0,15000,0,0
2025-12-05,NZD,15000,,0.000,-2.5
2025-12-05,PLN,0,400000,0,0
2025-12-05,PLN,400000,,2.178,-2
2025-12-05,RON,0,50000,0,0
2025-12-05,RON,50000,,3.652,-2
2025-12-05,RUB,,,0,0
2025-12-05,SAR,0,35000,0,0
2025-12-05,SAR,35000,,3.731,-0.75
2025-12-05,SEK,0,110000,0,0
2025-12-05,SEK,110000,,1.314,-0.5
2025-12-05,SGD,0,14000,0,0
2025-12-05,SGD,14000,,0.101,-1
2025-12-05,TRY,0,250000,0,0
2025-12-05,TRY,250000,,5,0
2025-12-05,ZAR,0,150000,0,0
2025-12-05,ZAR,150000,,5.941,-1
