Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2025-10-09,USD,0,10000,0,0
2025-10-09,USD,10000,,3.590,-0.5
2025-10-09,AED,0,35000,0,0
2025-10-09,AED,35000,,3.450,-0.75
2025-10-09,AUD,0,15000,0,0
2025-10-09,AUD,15000,150000,3.170,-0.5
2025-10-09,AUD,150000,,3.420,-0.25
2025-10-09,CAD,0,13000,0,0
2025-10-09,CAD,13000,,2.026,-0.5
2025-10-09,CHF,0,100000,0,0
2025-10-09,CHF,100000,,-0.343,-0.25
2025-10-09,CNH,0,70000,0,0
2025-10-09,CNH,70000,,0.50,0
2025-10-09,CZK,0,250000,0,0
2025-10-09,CZK,250000,,1.315,-2
2025-10-09,DKK,0,75000,0,0
2025-10-09,DKK,75000,,1.112,-0.5
2025-10-09,EUR,0,10000,0,0
2025-10-09,EUR,10000,,1.484,-0.5
2025-10-09,GBP,0,8000,0,0
2025-10-09,GBP,8000,,3.510,-0.5
2025-10-09,HKD,0,78000,0,0
2025-10-09,HKD,78000,,2.940,-0.75
2025-10-09,HUF,0,3500000,0,0
2025-10-09,HUF,3500000,,3.505,-3
2025-10-09,ILS,,,0,0
2025-10-09,INR,,,0,0
2025-10-09,JPY,0,5000000,0,0
2025-10-09,JPY,5000000,,0.193,-0.25
2025-10-09,KRW,0,12000000,0,0
2025-10-09,KRW,12000000,,1.000,-1.5
2025-10-09,MXN,0,200000,0,0
2025-10-09,MXN,200000,,3.724,-4
2025-10-09,NOK,0,100000,0,0
2025-10-09,NOK,100000,,1.911,-2
2025-10-09,NZD,0,15000,0,0
2025-10-09,NZD,15000,,0.444,-2.5
2025-10-09,PLN,0,400000,0,0
2025-10-09,PLN,400000,,2.784,-2
2025-10-09,RUB,,,0,0
2025-10-09,SAR,0,35000,0,0
2025-10-09,SAR,35000,,4.464,-0.75
2025-10-09,SEK,0,110000,0,0
2025-10-09,SEK,110000,,1.188,-0.5
2025-10-09,SGD,0,14000,0,0
2025-10-09,SGD,14000,,0.082,-1
2025-10-09,TRY,0,250000,0,0
2025-10-09,TRY,250000,,5,0
2025-10-09,ZAR,0,150000,0,0
2025-10-09,ZAR,150000,,5.758,-1
