Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2025-11-09,USD,0,10000,0,0
2025-11-09,USD,10000,,3.370,-0.5
2025-11-09,AED,0,35000,0,0
2025-11-09,AED,35000,,3.380,-0.75
2025-11-09,AUD,0,15000,0,0
2025-11-09,AUD,15000,150000,3.140,-0.5
2025-11-09,AUD,150000,,3.390,-0.25
2025-11-09,CAD,0,13000,0,0
2025-11-09,CAD,13000,,1.691,-0.5
2025-11-09,CHF,0,100000,0,0
2025-11-09,CHF,100000,,-0.255,-0.25
2025-11-09,CNH,0,70000,0,0
2025-11-09,CNH,70000,,0.50,0
2025-11-09,CZK,0,250000,0,0
2025-11-09,CZK,250000,,1.159,-2
2025-11-09,DKK,0,75000,0,0
2025-11-09,DKK,75000,,1.135,-0.5
2025-11-09,EUR,0,10000,0,0
2025-11-09,EUR,10000,,1.560,-0.5
2025-11-09,GBP,0,8000,0,0
2025-11-09,GBP,8000,,3.549,-0.5
2025-11-09,HKD,0,78000,0,0
2025-11-09,HKD,78000,,2.080,-0.75
2025-11-09,HUF,0,3500000,0,0
2025-11-09,HUF,3500000,,3.501,-3
2025-11-09,ILS,,,0,0
2025-11-09,INR,,,0,0
2025-11-09,JPY,0,5000000,0,0
2025-11-09,JPY,5000000,,0.244,-0.25
2025-11-09,KRW,0,12000000,0,0
2025-11-09,KRW,12000000,,1.000,-1.5
2025-11-09,MXN,0,200000,0,0
2025-11-09,MXN,200000,,3.678,-4
2025-11-09,NOK,0,100000,0,0
2025-11-09,NOK,100000,,2.044,-2
2025-11-09,NZD,0,15000,0,0
2025-11-09,NZD,15000,,0.019,-2.5
2025-11-09,PLN,0,400000,0,0
2025-11-09,PLN,400000,,2.409,-2
2025-11-09,RUB,,,0,0
2025-11-09,SAR,0,35000,0,0
2025-11-09,SAR,35000,,3.991,-0.75
2025-11-09,SEK,0,110000,0,0
2025-11-09,SEK,110000,,1.267,-0.5
2025-11-09,SGD,0,14000,0,0
2025-11-09,SGD,14000,,0.159,-1
2025-11-09,TRY,0,250000,0,0
2025-11-09,TRY,250000,,5,0
2025-11-09,ZAR,0,150000,0,0
2025-11-09,ZAR,150000,,5.954,-1
