Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-01-30,USD,0,100000,5.140,1.5
2026-01-30,USD,100000,1000000,4.640,1
2026-01-30,USD,1000000,50000000,4.390,0.75
2026-01-30,USD,50000000,250000000,4.140,0.5
2026-01-30,USD,250000000,,4.140,0.5
2026-01-30,AED,0,350000,6.150,2.5
2026-01-30,AED,350000,3500000,5.650,2
2026-01-30,AED,3500000,350000000,5.150,1.5
2026-01-30,AED,350000000,,5.150,1.5
2026-01-30,AUD,0,150000,5.125,1.5
2026-01-30,AUD,150000,1500000,4.625,1
2026-01-30,AUD,1500000,75000000,4.375,0.75
2026-01-30,AUD,75000000,300000000,4.125,0.5
2026-01-30,AUD,300000000,,4.125,0.5
2026-01-30,CAD,0,130000,3.703,1.5
2026-01-30,CAD,130000,1300000,3.203,1
2026-01-30,CAD,1300000,64000000,2.953,0.75
2026-01-30,CAD,64000000,260000000,2.703,0.5
2026-01-30,CAD,260000000,,2.703,0.5
2026-01-30,CHF,0,90000,1.500,1.5
2026-01-30,CHF,90000,900000,1.000,1
2026-01-30,CHF,900000,46000000,0.750,0.75
2026-01-30,CHF,46000000,180000000,0.75,0.5
2026-01-30,CHF,180000000,,0.75,0.5
2026-01-30,CNH,0,700000,5.340,4
2026-01-30,CNH,700000,7000000,4.340,3
2026-01-30,CNH,7000000,350000000,3.840,2.5
2026-01-30,CNH,350000000,,3.340,2
2026-01-30,CZK,0,400000000,6.428,3
2026-01-30,CZK,400000000,,6.428,3
2026-01-30,DKK,0,120000000,4.499,3
2026-01-30,DKK,120000000,,4.499,3
2026-01-30,EUR,0,90000,3.483,1.5
2026-01-30,EUR,90000,900000,2.983,1
2026-01-30,EUR,900000,44000000,2.733,0.75
2026-01-30,EUR,44000000,180000000,2.483,0.5
2026-01-30,EUR,180000000,,2.483,0.5
2026-01-30,GBP,0,80000,5.215,1.5
2026-01-30,GBP,80000,800000,4.715,1
2026-01-30,GBP,800000,38000000,4.465,0.75
2026-01-30,GBP,38000000,150000000,4.215,0.5
2026-01-30,GBP,150000000,,4.215,0.5
2026-01-30,HKD,0,780000,4.508,2.5
2026-01-30,HKD,780000,7800000,4.008,2
2026-01-30,HKD,7800000,780000000,3.508,1.5
2026-01-30,HKD,780000000,,3.508,1.5
2026-01-30,HUF,0,4500000000,11.221,5
2026-01-30,HUF,4500000000,,11.221,5
2026-01-30,ILS,0,80000000,8.904,5
2026-01-30,ILS,80000000,,8.904,5
2026-01-30,INR,,,8.300,3
2026-01-30,JPY,0,11000000,2.147,1.5
2026-01-30,JPY,11000000,114000000,1.647,1
2026-01-30,JPY,114000000,5700000000,1.397,0.75
2026-01-30,JPY,5700000000,23000000000,1.147,0.5
2026-01-30,JPY,23000000000,,1.147,0.5
2026-01-30,KRW,0,120000000,4.500,2
2026-01-30,KRW,120000000,1200000000,4.000,1.5
2026-01-30,KRW,1200000000,24000000000,3.500,1
2026-01-30,KRW,24000000000,,3.500,1
2026-01-30,MXN,0,2000000,10.047,3
2026-01-30,MXN,2000000,20000000,9.047,2
2026-01-30,MXN,20000000,2000000000,8.547,1.5
2026-01-30,MXN,2000000000,,8.547,1.5
2026-01-30,NOK,0,900000,5.280,1.5
2026-01-30,NOK,900000,9000000,4.780,1
2026-01-30,NOK,9000000,450000000,4.530,0.75
2026-01-30,NOK,450000000,1800000000,4.280,0.5
2026-01-30,NOK,1800000000,,4.280,0.5
2026-01-30,NZD,0,150000,3.945,1.5
2026-01-30,NZD,150000,1500000,3.445,1
2026-01-30,NZD,1500000,150000000,3.195,0.75
2026-01-30,NZD,150000000,,3.195,0.75
2026-01-30,PLN,0,70000000,6.745,3
2026-01-30,PLN,70000000,,6.745,3
2026-01-30,RON,,,8.543,3
2026-01-30,RUB*,0,660000000,20.660,5
2026-01-30,RUB*,660000000,,20.660,5
2026-01-30,SAR,0,350000,6.583,2.5
2026-01-30,SAR,350000,3500000,6.083,2
2026-01-30,SAR,3500000,350000000,5.583,1.5
2026-01-30,SAR,350000000,,5.583,1.5
2026-01-30,SEK,0,900000,3.401,1.5
2026-01-30,SEK,900000,9100000,2.901,1
2026-01-30,SEK,9100000,454000000,2.651,0.75
2026-01-30,SEK,454000000,1820000000,2.401,0.5
2026-01-30,SEK,1820000000,,2.401,0.5
2026-01-30,SGD,0,140000,2.671,1.5
2026-01-30,SGD,140000,1400000,2.171,1
2026-01-30,SGD,1400000,68000000,1.921,0.75
2026-01-30,SGD,68000000,270000000,1.671,0.5
2026-01-30,SGD,270000000,,1.671,0.5
2026-01-30,TRY,0,250000000,35.458,5
2026-01-30,TRY,250000000,,35.458,5
2026-01-30,ZAR,0,1500000,7.883,1.5
2026-01-30,ZAR,1500000,15000000,7.383,1
2026-01-30,ZAR,15000000,1500000000,7.133,0.75
2026-01-30,ZAR,1500000000,,7.133,0.75
