Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2025-10-05,USD,0,100000,5.590,1.5
2025-10-05,USD,100000,1000000,5.090,1
2025-10-05,USD,1000000,50000000,4.840,0.75
2025-10-05,USD,50000000,250000000,4.590,0.5
2025-10-05,USD,250000000,,4.590,0.5
2025-10-05,AED,0,350000,6.630,2.5
2025-10-05,AED,350000,3500000,6.130,2
2025-10-05,AED,3500000,350000000,5.630,1.5
2025-10-05,AED,350000000,,5.630,1.5
2025-10-05,AUD,0,150000,5.173,1.5
2025-10-05,AUD,150000,1500000,4.673,1
2025-10-05,AUD,1500000,75000000,4.423,0.75
2025-10-05,AUD,75000000,300000000,4.173,0.5
2025-10-05,AUD,300000000,,4.173,0.5
2025-10-05,CAD,0,130000,3.993,1.5
2025-10-05,CAD,130000,1300000,3.493,1
2025-10-05,CAD,1300000,64000000,3.243,0.75
2025-10-05,CAD,64000000,260000000,2.993,0.5
2025-10-05,CAD,260000000,,2.993,0.5
2025-10-05,CHF,0,90000,1.500,1.5
2025-10-05,CHF,90000,900000,1.000,1
2025-10-05,CHF,900000,46000000,0.750,0.75
2025-10-05,CHF,46000000,180000000,0.75,0.5
2025-10-05,CHF,180000000,,0.75,0.5
2025-10-05,CNH,0,700000,5.658,4
2025-10-05,CNH,700000,7000000,4.658,3
2025-10-05,CNH,7000000,350000000,4.158,2.5
2025-10-05,CNH,350000000,,3.658,2
2025-10-05,CZK,0,400000000,6.390,3
2025-10-05,CZK,400000000,,6.390,3
2025-10-05,DKK,0,120000000,4.665,3
2025-10-05,DKK,120000000,,4.665,3
2025-10-05,EUR,0,90000,3.478,1.5
2025-10-05,EUR,90000,900000,2.978,1
2025-10-05,EUR,900000,44000000,2.728,0.75
2025-10-05,EUR,44000000,180000000,2.478,0.5
2025-10-05,EUR,180000000,,2.478,0.5
2025-10-05,GBP,0,80000,5.573,1.5
2025-10-05,GBP,80000,800000,5.073,1
2025-10-05,GBP,800000,38000000,4.823,0.75
2025-10-05,GBP,38000000,150000000,4.573,0.5
2025-10-05,GBP,150000000,,4.573,0.5
2025-10-05,HKD,0,780000,6.140,2.5
2025-10-05,HKD,780000,7800000,5.640,2
2025-10-05,HKD,7800000,780000000,5.140,1.5
2025-10-05,HKD,780000000,,5.140,1.5
2025-10-05,HUF,0,4500000000,11.396,5
2025-10-05,HUF,4500000000,,11.396,5
2025-10-05,ILS,0,80000000,9.508,5
2025-10-05,ILS,80000000,,9.508,5
2025-10-05,INR,,,8.400,3
2025-10-05,JPY,0,11000000,1.808,1.5
2025-10-05,JPY,11000000,114000000,1.308,1
2025-10-05,JPY,114000000,5700000000,1.058,0.75
2025-10-05,JPY,5700000000,23000000000,0.808,0.5
2025-10-05,JPY,23000000000,,0.808,0.5
2025-10-05,KRW,0,120000000,4.500,2
2025-10-05,KRW,120000000,1200000000,4.000,1.5
2025-10-05,KRW,1200000000,24000000000,3.500,1
2025-10-05,KRW,24000000000,,3.500,1
2025-10-05,MXN,0,2000000,10.775,3
2025-10-05,MXN,2000000,20000000,9.775,2
2025-10-05,MXN,20000000,2000000000,9.275,1.5
2025-10-05,MXN,2000000000,,9.275,1.5
2025-10-05,NOK,0,900000,5.430,1.5
2025-10-05,NOK,900000,9000000,4.930,1
2025-10-05,NOK,9000000,450000000,4.680,0.75
2025-10-05,NOK,450000000,1800000000,4.430,0.5
2025-10-05,NOK,1800000000,,4.430,0.5
2025-10-05,NZD,0,150000,4.227,1.5
2025-10-05,NZD,150000,1500000,3.727,1
2025-10-05,NZD,1500000,150000000,3.477,0.75
2025-10-05,NZD,150000000,,3.477,0.75
2025-10-05,PLN,0,70000000,7.764,3
2025-10-05,PLN,70000000,,7.764,3
2025-10-05,RUB*,0,660000000,21.760,5
2025-10-05,RUB*,660000000,,21.760,5
2025-10-05,SAR,0,350000,7.865,2.5
2025-10-05,SAR,350000,3500000,7.365,2
2025-10-05,SAR,3500000,350000000,6.865,1.5
2025-10-05,SAR,350000000,,6.865,1.5
2025-10-05,SEK,0,900000,3.204,1.5
2025-10-05,SEK,900000,9100000,2.704,1
2025-10-05,SEK,9100000,454000000,2.454,0.75
2025-10-05,SEK,454000000,1820000000,2.204,0.5
2025-10-05,SEK,1820000000,,2.204,0.5
2025-10-05,SGD,0,140000,2.793,1.5
2025-10-05,SGD,140000,1400000,2.293,1
2025-10-05,SGD,1400000,68000000,2.043,0.75
2025-10-05,SGD,68000000,270000000,1.793,0.5
2025-10-05,SGD,270000000,,1.793,0.5
2025-10-05,TRY,0,250000000,36.171,5
2025-10-05,TRY,250000000,,36.171,5
2025-10-05,ZAR,0,1500000,8.463,1.5
2025-10-05,ZAR,1500000,15000000,7.963,1
2025-10-05,ZAR,15000000,1500000000,7.713,0.75
2025-10-05,ZAR,1500000000,,7.713,0.75
