Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-01-17,USD,0,100000,5.140,1.5
2026-01-17,USD,100000,1000000,4.640,1
2026-01-17,USD,1000000,50000000,4.390,0.75
2026-01-17,USD,50000000,250000000,4.140,0.5
2026-01-17,USD,250000000,,4.140,0.5
2026-01-17,AED,0,350000,6.238,2.5
2026-01-17,AED,350000,3500000,5.738,2
2026-01-17,AED,3500000,350000000,5.238,1.5
2026-01-17,AED,350000000,,5.238,1.5
2026-01-17,AUD,0,150000,5.127,1.5
2026-01-17,AUD,150000,1500000,4.627,1
2026-01-17,AUD,1500000,75000000,4.377,0.75
2026-01-17,AUD,75000000,300000000,4.127,0.5
2026-01-17,AUD,300000000,,4.127,0.5
2026-01-17,CAD,0,130000,3.692,1.5
2026-01-17,CAD,130000,1300000,3.192,1
2026-01-17,CAD,1300000,64000000,2.942,0.75
2026-01-17,CAD,64000000,260000000,2.692,0.5
2026-01-17,CAD,260000000,,2.692,0.5
2026-01-17,CHF,0,90000,1.500,1.5
2026-01-17,CHF,90000,900000,1.000,1
2026-01-17,CHF,900000,46000000,0.750,0.75
2026-01-17,CHF,46000000,180000000,0.75,0.5
2026-01-17,CHF,180000000,,0.75,0.5
2026-01-17,CNH,0,700000,5.728,4
2026-01-17,CNH,700000,7000000,4.728,3
2026-01-17,CNH,7000000,350000000,4.228,2.5
2026-01-17,CNH,350000000,,3.728,2
2026-01-17,CZK,0,400000000,6.473,3
2026-01-17,CZK,400000000,,6.473,3
2026-01-17,DKK,0,120000000,4.549,3
2026-01-17,DKK,120000000,,4.549,3
2026-01-17,EUR,0,90000,3.509,1.5
2026-01-17,EUR,90000,900000,3.009,1
2026-01-17,EUR,900000,44000000,2.759,0.75
2026-01-17,EUR,44000000,180000000,2.509,0.5
2026-01-17,EUR,180000000,,2.509,0.5
2026-01-17,GBP,0,80000,5.228,1.5
2026-01-17,GBP,80000,800000,4.728,1
2026-01-17,GBP,800000,38000000,4.478,0.75
2026-01-17,GBP,38000000,150000000,4.228,0.5
2026-01-17,GBP,150000000,,4.228,0.5
2026-01-17,HKD,0,780000,4.913,2.5
2026-01-17,HKD,780000,7800000,4.413,2
2026-01-17,HKD,7800000,780000000,3.913,1.5
2026-01-17,HKD,780000000,,3.913,1.5
2026-01-17,HUF,0,4500000000,11.084,5
2026-01-17,HUF,4500000000,,11.084,5
2026-01-17,ILS,0,80000000,8.866,5
2026-01-17,ILS,80000000,,8.866,5
2026-01-17,INR,,,8.430,3
2026-01-17,JPY,0,11000000,2.163,1.5
2026-01-17,JPY,11000000,114000000,1.663,1
2026-01-17,JPY,114000000,5700000000,1.413,0.75
2026-01-17,JPY,5700000000,23000000000,1.163,0.5
2026-01-17,JPY,23000000000,,1.163,0.5
2026-01-17,KRW,0,120000000,4.500,2
2026-01-17,KRW,120000000,1200000000,4.000,1.5
2026-01-17,KRW,1200000000,24000000000,3.500,1
2026-01-17,KRW,24000000000,,3.500,1
2026-01-17,MXN,0,2000000,9.010,3
2026-01-17,MXN,2000000,20000000,8.010,2
2026-01-17,MXN,20000000,2000000000,7.510,1.5
2026-01-17,MXN,2000000000,,7.510,1.5
2026-01-17,NOK,0,900000,5.256,1.5
2026-01-17,NOK,900000,9000000,4.756,1
2026-01-17,NOK,9000000,450000000,4.506,0.75
2026-01-17,NOK,450000000,1800000000,4.256,0.5
2026-01-17,NOK,1800000000,,4.256,0.5
2026-01-17,NZD,0,150000,3.530,1.5
2026-01-17,NZD,150000,1500000,3.030,1
2026-01-17,NZD,1500000,150000000,2.780,0.75
2026-01-17,NZD,150000000,,2.780,0.75
2026-01-17,PLN,0,70000000,6.867,3
2026-01-17,PLN,70000000,,6.867,3
2026-01-17,RON,,,8.332,3
2026-01-17,RUB*,0,660000000,20.720,5
2026-01-17,RUB*,660000000,,20.720,5
2026-01-17,SAR,0,350000,6.679,2.5
2026-01-17,SAR,350000,3500000,6.179,2
2026-01-17,SAR,3500000,350000000,5.679,1.5
2026-01-17,SAR,350000000,,5.679,1.5
2026-01-17,SEK,0,900000,3.347,1.5
2026-01-17,SEK,900000,9100000,2.847,1
2026-01-17,SEK,9100000,454000000,2.597,0.75
2026-01-17,SEK,454000000,1820000000,2.347,0.5
2026-01-17,SEK,1820000000,,2.347,0.5
2026-01-17,SGD,0,140000,2.685,1.5
2026-01-17,SGD,140000,1400000,2.185,1
2026-01-17,SGD,1400000,68000000,1.935,0.75
2026-01-17,SGD,68000000,270000000,1.685,0.5
2026-01-17,SGD,270000000,,1.685,0.5
2026-01-17,TRY,0,250000000,35.978,5
2026-01-17,TRY,250000000,,35.978,5
2026-01-17,ZAR,0,1500000,7.815,1.5
2026-01-17,ZAR,1500000,15000000,7.315,1
2026-01-17,ZAR,15000000,1500000000,7.065,0.75
2026-01-17,ZAR,1500000000,,7.065,0.75
