Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2025-10-28,USD,0,10000,0,0
2025-10-28,USD,10000,,3.610,-0.5
2025-10-28,AED,0,35000,0,0
2025-10-28,AED,35000,,3.371,-0.75
2025-10-28,AUD,0,15000,0,0
2025-10-28,AUD,15000,150000,3.172,-0.5
2025-10-28,AUD,150000,,3.422,-0.25
2025-10-28,CAD,0,13000,0,0
2025-10-28,CAD,13000,,1.962,-0.5
2025-10-28,CHF,0,100000,0,0
2025-10-28,CHF,100000,,-0.390,-0.25
2025-10-28,CNH,0,70000,0,0
2025-10-28,CNH,70000,,0.50,0
2025-10-28,CZK,0,250000,0,0
2025-10-28,CZK,250000,,1.400,-2
2025-10-28,DKK,0,75000,0,0
2025-10-28,DKK,75000,,1.048,-0.5
2025-10-28,EUR,0,10000,0,0
2025-10-28,EUR,10000,,1.461,-0.5
2025-10-28,GBP,0,8000,0,0
2025-10-28,GBP,8000,,3.554,-0.5
2025-10-28,HKD,0,78000,0,0
2025-10-28,HKD,78000,,2.623,-0.75
2025-10-28,HUF,0,3500000,0,0
2025-10-28,HUF,3500000,,3.434,-3
2025-10-28,ILS,,,0,0
2025-10-28,INR,,,0,0
2025-10-28,JPY,0,5000000,0,0
2025-10-28,JPY,5000000,,0.137,-0.25
2025-10-28,KRW,0,12000000,0,0
2025-10-28,KRW,12000000,,1.000,-1.5
2025-10-28,MXN,0,200000,0,0
2025-10-28,MXN,200000,,3.773,-4
2025-10-28,NOK,0,100000,0,0
2025-10-28,NOK,100000,,2.008,-2
2025-10-28,NZD,0,15000,0,0
2025-10-28,NZD,15000,,0.199,-2.5
2025-10-28,PLN,0,400000,0,0
2025-10-28,PLN,400000,,2.412,-2
2025-10-28,RUB,,,0,0
2025-10-28,SAR,0,35000,0,0
2025-10-28,SAR,35000,,4.397,-0.75
2025-10-28,SEK,0,110000,0,0
2025-10-28,SEK,110000,,1.342,-0.5
2025-10-28,SGD,0,14000,0,0
2025-10-28,SGD,14000,,0.285,-1
2025-10-28,TRY,0,250000,0,0
2025-10-28,TRY,250000,,5,0
2025-10-28,ZAR,0,150000,0,0
2025-10-28,ZAR,150000,,5.602,-1
