Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-01-21,USD,0,100000,5.140,1.5
2026-01-21,USD,100000,1000000,4.640,1
2026-01-21,USD,1000000,50000000,4.390,0.75
2026-01-21,USD,50000000,250000000,4.140,0.5
2026-01-21,USD,250000000,,4.140,0.5
2026-01-21,AED,0,350000,6.210,2.5
2026-01-21,AED,350000,3500000,5.710,2
2026-01-21,AED,3500000,350000000,5.210,1.5
2026-01-21,AED,350000000,,5.210,1.5
2026-01-21,AUD,0,150000,5.112,1.5
2026-01-21,AUD,150000,1500000,4.612,1
2026-01-21,AUD,1500000,75000000,4.362,0.75
2026-01-21,AUD,75000000,300000000,4.112,0.5
2026-01-21,AUD,300000000,,4.112,0.5
2026-01-21,CAD,0,130000,3.704,1.5
2026-01-21,CAD,130000,1300000,3.204,1
2026-01-21,CAD,1300000,64000000,2.954,0.75
2026-01-21,CAD,64000000,260000000,2.704,0.5
2026-01-21,CAD,260000000,,2.704,0.5
2026-01-21,CHF,0,90000,1.500,1.5
2026-01-21,CHF,90000,900000,1.000,1
2026-01-21,CHF,900000,46000000,0.750,0.75
2026-01-21,CHF,46000000,180000000,0.75,0.5
2026-01-21,CHF,180000000,,0.75,0.5
2026-01-21,CNH,0,700000,5.738,4
2026-01-21,CNH,700000,7000000,4.738,3
2026-01-21,CNH,7000000,350000000,4.238,2.5
2026-01-21,CNH,350000000,,3.738,2
2026-01-21,CZK,0,400000000,6.508,3
2026-01-21,CZK,400000000,,6.508,3
2026-01-21,DKK,0,120000000,4.537,3
2026-01-21,DKK,120000000,,4.537,3
2026-01-21,EUR,0,90000,3.522,1.5
2026-01-21,EUR,90000,900000,3.022,1
2026-01-21,EUR,900000,44000000,2.772,0.75
2026-01-21,EUR,44000000,180000000,2.522,0.5
2026-01-21,EUR,180000000,,2.522,0.5
2026-01-21,GBP,0,80000,5.227,1.5
2026-01-21,GBP,80000,800000,4.727,1
2026-01-21,GBP,800000,38000000,4.477,0.75
2026-01-21,GBP,38000000,150000000,4.227,0.5
2026-01-21,GBP,150000000,,4.227,0.5
2026-01-21,HKD,0,780000,5.556,2.5
2026-01-21,HKD,780000,7800000,5.056,2
2026-01-21,HKD,7800000,780000000,4.556,1.5
2026-01-21,HKD,780000000,,4.556,1.5
2026-01-21,HUF,0,4500000000,11.132,5
2026-01-21,HUF,4500000000,,11.132,5
2026-01-21,ILS,0,80000000,8.667,5
2026-01-21,ILS,80000000,,8.667,5
2026-01-21,INR,,,8.490,3
2026-01-21,JPY,0,11000000,2.146,1.5
2026-01-21,JPY,11000000,114000000,1.646,1
2026-01-21,JPY,114000000,5700000000,1.396,0.75
2026-01-21,JPY,5700000000,23000000000,1.146,0.5
2026-01-21,JPY,23000000000,,1.146,0.5
2026-01-21,KRW,0,120000000,4.500,2
2026-01-21,KRW,120000000,1200000000,4.000,1.5
2026-01-21,KRW,1200000000,24000000000,3.500,1
2026-01-21,KRW,24000000000,,3.500,1
2026-01-21,MXN,0,2000000,9.250,3
2026-01-21,MXN,2000000,20000000,8.250,2
2026-01-21,MXN,20000000,2000000000,7.750,1.5
2026-01-21,MXN,2000000000,,7.750,1.5
2026-01-21,NOK,0,900000,5.299,1.5
2026-01-21,NOK,900000,9000000,4.799,1
2026-01-21,NOK,9000000,450000000,4.549,0.75
2026-01-21,NOK,450000000,1800000000,4.299,0.5
2026-01-21,NOK,1800000000,,4.299,0.5
2026-01-21,NZD,0,150000,3.596,1.5
2026-01-21,NZD,150000,1500000,3.096,1
2026-01-21,NZD,1500000,150000000,2.846,0.75
2026-01-21,NZD,150000000,,2.846,0.75
2026-01-21,PLN,0,70000000,6.959,3
2026-01-21,PLN,70000000,,6.959,3
2026-01-21,RON,,,8.400,3
2026-01-21,RUB*,0,660000000,20.780,5
2026-01-21,RUB*,660000000,,20.780,5
2026-01-21,SAR,0,350000,6.679,2.5
2026-01-21,SAR,350000,3500000,6.179,2
2026-01-21,SAR,3500000,350000000,5.679,1.5
2026-01-21,SAR,350000000,,5.679,1.5
2026-01-21,SEK,0,900000,3.396,1.5
2026-01-21,SEK,900000,9100000,2.896,1
2026-01-21,SEK,9100000,454000000,2.646,0.75
2026-01-21,SEK,454000000,1820000000,2.396,0.5
2026-01-21,SEK,1820000000,,2.396,0.5
2026-01-21,SGD,0,140000,2.812,1.5
2026-01-21,SGD,140000,1400000,2.312,1
2026-01-21,SGD,1400000,68000000,2.062,0.75
2026-01-21,SGD,68000000,270000000,1.812,0.5
2026-01-21,SGD,270000000,,1.812,0.5
2026-01-21,TRY,0,250000000,33.918,5
2026-01-21,TRY,250000000,,33.918,5
2026-01-21,ZAR,0,1500000,7.772,1.5
2026-01-21,ZAR,1500000,15000000,7.272,1
2026-01-21,ZAR,15000000,1500000000,7.022,0.75
2026-01-21,ZAR,1500000000,,7.022,0.75
