Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-08-14,USD,0,100000,5.130,1.5
2026-08-14,USD,100000,1000000,4.630,1
2026-08-14,USD,1000000,50000000,4.380,0.75
2026-08-14,USD,50000000,250000000,4.130,0.5
2026-08-14,USD,250000000,,4.130,0.5
2026-08-14,AED,0,350000,6.244,2.5
2026-08-14,AED,350000,3500000,5.744,2
2026-08-14,AED,3500000,350000000,5.244,1.5
2026-08-14,AED,350000000,,5.244,1.5
2026-08-14,AUD,0,150000,5.730,1.5
2026-08-14,AUD,150000,1500000,5.230,1
2026-08-14,AUD,1500000,75000000,4.980,0.75
2026-08-14,AUD,75000000,300000000,4.730,0.5
2026-08-14,AUD,300000000,,4.730,0.5
2026-08-14,CAD,0,130000,3.658,1.5
2026-08-14,CAD,130000,1300000,3.158,1
2026-08-14,CAD,1300000,64000000,2.908,0.75
2026-08-14,CAD,64000000,260000000,2.658,0.5
2026-08-14,CAD,260000000,,2.658,0.5
2026-08-14,CHF,0,90000,1.500,1.5
2026-08-14,CHF,90000,900000,1.000,1
2026-08-14,CHF,900000,46000000,0.750,0.75
2026-08-14,CHF,46000000,180000000,0.75,0.5
2026-08-14,CHF,180000000,,0.75,0.5
2026-08-14,CNH,0,700000,5.200,4
2026-08-14,CNH,700000,7000000,4.200,3
2026-08-14,CNH,7000000,350000000,3.700,2.5
2026-08-14,CNH,350000000,,3.200,2
2026-08-14,CZK,0,400000000,6.538,3
2026-08-14,CZK,400000000,,6.538,3
2026-08-14,DKK,0,120000000,4.733,3
2026-08-14,DKK,120000000,,4.733,3
2026-08-14,EUR,0,90000,3.703,1.5
2026-08-14,EUR,90000,900000,3.203,1
2026-08-14,EUR,900000,44000000,2.953,0.75
2026-08-14,EUR,44000000,180000000,2.703,0.5
2026-08-14,EUR,180000000,,2.703,0.5
2026-08-14,GBP,0,80000,5.210,1.5
2026-08-14,GBP,80000,800000,4.710,1
2026-08-14,GBP,800000,38000000,4.460,0.75
2026-08-14,GBP,38000000,150000000,4.210,0.5
2026-08-14,GBP,150000000,,4.210,0.5
2026-08-14,HKD,0,780000,4.606,2.5
2026-08-14,HKD,780000,7800000,4.106,2
2026-08-14,HKD,7800000,780000000,3.606,1.5
2026-08-14,HKD,780000000,,3.606,1.5
2026-08-14,HUF,0,4500000000,10.452,5
2026-08-14,HUF,4500000000,,10.452,5
2026-08-14,ILS,0,80000000,8.322,5
2026-08-14,ILS,80000000,,8.322,5
2026-08-14,INR,,,8.140,3
2026-08-14,JPY,0,11000000,2.049,1.5
2026-08-14,JPY,11000000,114000000,1.549,1
2026-08-14,JPY,114000000,5700000000,1.299,0.75
2026-08-14,JPY,5700000000,23000000000,1.049,0.5
2026-08-14,JPY,23000000000,,1.049,0.5
2026-08-14,KRW,,,7.890,3.5
2026-08-14,MXN,0,2000000,9.491,3
2026-08-14,MXN,2000000,20000000,8.491,2
2026-08-14,MXN,20000000,2000000000,7.991,1.5
2026-08-14,MXN,2000000000,,7.991,1.5
2026-08-14,NOK,0,900000,5.554,1.5
2026-08-14,NOK,900000,9000000,5.054,1
2026-08-14,NOK,9000000,450000000,4.804,0.75
2026-08-14,NOK,450000000,1800000000,4.554,0.5
2026-08-14,NOK,1800000000,,4.554,0.5
2026-08-14,NZD,0,150000,3.560,1.5
2026-08-14,NZD,150000,1500000,3.060,1
2026-08-14,NZD,1500000,150000000,2.810,0.75
2026-08-14,NZD,150000000,,2.810,0.75
2026-08-14,PLN,0,70000000,6.796,3
2026-08-14,PLN,70000000,,6.796,3
2026-08-14,RON,,,8.343,3
2026-08-14,RUB*,0,660000000,18.870,5
2026-08-14,RUB*,660000000,,18.870,5
2026-08-14,SAR,0,350000,5.685,2.5
2026-08-14,SAR,350000,3500000,5.185,2
2026-08-14,SAR,3500000,350000000,4.685,1.5
2026-08-14,SAR,350000000,,4.685,1.5
2026-08-14,SEK,0,900000,3.096,1.5
2026-08-14,SEK,900000,9100000,2.596,1
2026-08-14,SEK,9100000,454000000,2.346,0.75
2026-08-14,SEK,454000000,1820000000,2.096,0.5
2026-08-14,SEK,1820000000,,2.096,0.5
2026-08-14,SGD,0,140000,2.736,1.5
2026-08-14,SGD,140000,1400000,2.236,1
2026-08-14,SGD,1400000,68000000,1.986,0.75
2026-08-14,SGD,68000000,270000000,1.736,0.5
2026-08-14,SGD,270000000,,1.736,0.5
2026-08-14,TRY,0,250000000,35.981,5
2026-08-14,TRY,250000000,,35.981,5
2026-08-14,ZAR,0,1500000,8.132,1.5
2026-08-14,ZAR,1500000,15000000,7.632,1
2026-08-14,ZAR,15000000,1500000000,7.382,0.75
2026-08-14,ZAR,1500000000,,7.382,0.75
